Row #,Category,Filename,Chart Title,GitHub URL,Timeframe,Status,Track This:,Dashboard Location,Update Frequency
24,INTRA-MARKET SPREADS,SPD_SrW_U_Z.png,Chicago SRW Spread: Sep/Dec,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_U_Z.png,Weekly,Published,Post-harvest carry. Storage decision economics for fall grain.,Mid,Daily
25,INTRA-MARKET SPREADS,SPD_SrW_Z_H2.png,Chicago SRW Spread: Dec/Mar+1yr,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_Z_H2.png,Weekly,In Development,Winter carry. Holding grain through winter — does the market pay you to wait?,Mid,Daily
26,INTRA-MARKET SPREADS,SPD_hRw_H_K.png,Kansas City HRW Spread: Mar/May,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_hRw_H_K.png,Weekly,In Development,HRW near-term carry. Plains elevator economics.,Mid,Daily
27,INTRA-MARKET SPREADS,SPD_hRw_K_N.png,Kansas City HRW Spread: May/Jul,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_hRw_K_N.png,Weekly,Published,HRW pre-harvest. Winter wheat harvest pressure approaching.,Mid,Daily
28,INTRA-MARKET SPREADS,SPD_hRw_N_U.png,Kansas City HRW Spread: Jul/Sep,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_hRw_N_U.png,Weekly,Published,HRW harvest-to-fall carry. Early storage signals.,Mid,Daily
29,INTRA-MARKET SPREADS,SPD_hRw_U_Z.png,Kansas City HRW Spread: Sep/Dec,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_hRw_U_Z.png,Weekly,Published,HRW fall carry. Does stored HRW earn its keep?,Mid,Daily
30,INTRA-MARKET SPREADS,SPD_hRw_Z_H2.png,Kansas City HRW Spread: Dec/Mar+1yr,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_hRw_Z_H2.png,Weekly,In Development,HRW winter carry. Late-season storage decision.,Mid,Daily
31,INTRA-MARKET SPREADS,SPD_HrS_H_K.png,Minneapolis HRS Spread: Mar/May,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_H_K.png,Weekly,In Development,HRS near-term carry. Spring wheat positioning before planting.,Mid,Daily
32,INTRA-MARKET SPREADS,SPD_HrS_K_N.png,Minneapolis HRS Spread: May/Jul,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_K_N.png,Weekly,Published,HRS pre-harvest. Planting uncertainty drives this spread.,Mid,Daily
33,INTRA-MARKET SPREADS,SPD_HrS_N_U.png,Minneapolis HRS Spread: Jul/Sep,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_N_U.png,Weekly,Published,HRS harvest-to-fall. Northern Plains harvest timing.,Mid,Daily
34,INTRA-MARKET SPREADS,SPD_HrS_U_Z.png,Minneapolis HRS Spread: Sep/Dec,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_U_Z.png,Weekly,Published,HRS fall carry. Protein premiums influence storage returns.,Mid,Daily
35,INTRA-MARKET SPREADS,SPD_HrS_Z_H2.png,Minneapolis HRS Spread: Dec/Mar+1yr,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_Z_H2.png,Weekly,In Development,HRS winter carry. Late-season spring wheat storage.,Mid,Daily
36,INTRA-MARKET SPREADS,SPD_FWH_K_U.png,Paris Milling Spread: May/Sep,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_FWH_K_U.png,Weekly,Published,European pre-harvest carry. EU crop outlook vs storage economics.,Mid,Daily
37,INTRA-MARKET SPREADS,SPD_FWH_U_Z.png,Paris Milling Spread: Sep/Dec,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_FWH_U_Z.png,Weekly,Published,European fall carry. Post-harvest storage in EU markets.,Mid,Daily
38,INTRA-MARKET SPREADS,SPD_FWH_Z_H2.png,Paris Milling Spread: Dec/Mar+1yr,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_FWH_Z_H2.png,Weekly,Published,European winter carry. Holding EU wheat through winter.,Mid,Daily
INTER-MARKET SPREADS/RATIOS,,,,,,,,,
39,INTER-MARKET SPREADS/RATIOS,SPD_SrW_hRw.png,Chicago SRW minus Kansas City HRW,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_hRw.png,Monthly,Published,"Class premium/discount. When SRW trades over HRW, feed demand leads; when under, quality pays.",Mid,Periodic
40,INTER-MARKET SPREADS/RATIOS,SPD_SrW_HrS.png,Chicago SRW minus Minneapolis HRS,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_HrS.png,Monthly,Published,Protein premium. Widens when millers chase quality; narrows when feed wheat is scarce.,Mid,Periodic
41,INTER-MARKET SPREADS/RATIOS,SPD_HrS_hRw.png,Minneapolis HRS minus Kansas City HRW,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_HrS_hRw.png,Monthly,Published,Quality differential. Spring vs winter hard wheat — regional supply dynamics.,Mid,Periodic
42,INTER-MARKET SPREADS/RATIOS,RATIO_SrW_C_M.png,Wheat/Corn Ratio: Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/RATIO_SrW_C_M.png,Monthly,Published,Substitution economics. Below 1.2 = feeders switch to wheat; above 1.5 = corn wins.,Bot,Periodic
43,INTER-MARKET SPREADS/RATIOS,RATIO_S_C_W.png,Soybeans/Corn Ratio: Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/RATIO_S_C_W.png,Weekly,Published,Planting decision ratio. Above 2.5 = plant beans; below 2.2 = plant corn. Acres compete.,Bot,Periodic
COT,,,,,,,,,
44,COT,COT_SrW_W.png,Commitment of Traders: Chicago SRW,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/COT_SrW_W.png,Weekly,Published,Who's positioned where. Commercial hedger extremes often mark turning points.,Mid,Weekly
45,COT,COT_hRw_W.png,Commitment of Traders: Kansas City HRW,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/COT_hRw_W.png,Weekly,Published,HRW positioning. Fund length vs commercial shorts — the tug of war.,Mid,Weekly
INTEREST RATES,,,,,,,,,
46,INTEREST RATES,BNDS_2YR_TNOTE_W.png,2-Year T-Note Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/BNDS_2YR_TNOTE_W.png,Weekly,Published,Near-term rate expectations. Impacts operating loan costs and storage carry economics.,Bot,Weekly
47,INTEREST RATES,BNDS_10YR_Price_Q.png,10-Year Treasury Bond Price: Quarterly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/BNDS_10YR_Price_Q.png,Quarterly,Published,Economic outlook gauge. Falling price = rising yields = tighter credit for ag.,Bot,Quarterly
48,INTEREST RATES,BNDS_30YR_Price_Q.png,30-Year Treasury Bond Price: Quarterly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/BNDS_30YR_Price_Q.png,Quarterly,Published,Flight to quality signal. Spikes during global stress — correlates with commodity selloffs.,Bot,Quarterly
49,INTEREST RATES,BNDS_30YR_Yield_Q.png,30-Year Treasury Bond Yield: Quarterly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/BNDS_30YR_Yield_Q.png,Quarterly,Published,Long-term borrowing cost. Farmland valuations and equipment financing follow this.,Bot,Quarterly
CURRENCIES,,,,,,,,,
50,CURRENCIES,FX_WD_D.png,Australian Dollar Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/FX_WD_D.png,Daily,Published,Competitor currency. Weak AUD = cheaper Aussie wheat on the world market.,Bot,Daily
51,CURRENCIES,FX_USD_WD_M.png,Australian Dollars per US Dollar: Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/FX_USD_WD_M.png,Monthly,Published,Long-term AUD trend. Australian export competitiveness vs US wheat.,Bot,Monthly
52,CURRENCIES,FX_USD_RUB_M.png,Russian Rubles per US Dollar: Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/FX_USD_RUB_M.png,Monthly,Published,Russian export competitiveness. Weak ruble = cheap Russian wheat flooding the market.,Bot,Monthly
53,CURRENCIES,FX_USD_CNY_M.png,Chinese Yuan per US Dollar: Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/FX_USD_CNY_M.png,Monthly,Published,China trade dynamics. Yuan moves signal Chinese buying power for US wheat imports.,Bot,Monthly
54,CURRENCIES,FX_RUB_CNY_W.png,Russian Rubles per Chinese Yuan: Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/FX_RUB_CNY_W.png,Weekly,Published,The Black Sea-China corridor. Direct competitor pricing for the world's biggest buyer.,Bot,Weekly
ENERGIES,,,,,,,,,
55,ENERGIES,NRG_CL_W.png,Crude Oil: WTI & Brent Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_CL_W.png,Weekly,In Development,"Energy correlation. Crude drives diesel, diesel drives input costs, input costs drive breakevens.",Bot,Weekly
56,ENERGIES,NRG_CL_M.png,Crude Oil: Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_CL_M.png,Monthly,Published,Energy trend. Long-term oil trajectory shapes fertilizer and freight cost outlook.,Bot,Monthly
57,ENERGIES,NRG_HO_D.png,Diesel/Heating Oil Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_HO_D.png,Daily,Published,Input cost — immediate. Today's diesel price hits today's field cost and trucking bill.,Bot,Daily
58,ENERGIES,NRG_HO_W.png,Diesel/Heating Oil Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_HO_W.png,Weekly,In Development,Input cost — intermediate. Weekly trend helps plan fuel purchasing windows.,Bot,Weekly
59,ENERGIES,NRG_HO_M.png,Diesel/Heating Oil Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_HO_M.png,Monthly,In Development,Input cost — trend. Seasonal diesel patterns align with planting and harvest fuel demand.,Bot,Monthly
60,ENERGIES,NRG_NG_M.png,Natural Gas: Henry Hub Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/NRG_NG_M.png,Monthly,Published,Fertilizer feedstock. Nat gas price drives anhydrous ammonia and urea costs.,Bot,Monthly
METALS,,,,,,,,,
61,METALS,METL_GC_D.png,Gold (COMEX) Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/METL_GC_D.png,Daily,Published,Risk sentiment — immediate. Gold spikes signal fear; correlates with commodity fund flows.,Bot,Daily
62,METALS,METL_GC_M.png,Gold (COMEX) Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/METL_GC_M.png,Monthly,Published,Long-term risk gauge. Sustained gold rallies often precede inflationary commodity moves.,Bot,Monthly
63,METALS,METL_SI_D.png,Silver (COMEX) Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/METL_SI_D.png,Daily,Published,Industrial/monetary hybrid. Silver leads gold at turning points — early warning signal.,Bot,Daily
64,METALS,METL_SI_M.png,Silver (COMEX) Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/METL_SI_M.png,Monthly,In Development,Silver long-term. Industrial demand component connects to global manufacturing activity.,Bot,Monthly
65,METALS,METL_HG_M.png,Copper (COMEX) Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/METL_HG_M.png,Monthly,Published,Dr. Copper — the economist's metal. Rising copper = growing economy = stronger commodity demand.,Bot,Monthly
INDICES,,,,,,,,,
66,INDICES,IDX_DXY_W.png,US Dollar Index Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_DXY_W.png,Weekly,Published,Currency impact. Strong dollar suppresses US wheat exports; weak dollar lifts them.,Bot,Weekly
67,INDICES,IDX_DXY_M.png,US Dollar Index Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_DXY_M.png,Monthly,In Development,Dollar long-term trend. Multi-year dollar cycles shape US wheat competitiveness globally.,Bot,Monthly
68,INDICES,IDX_BDI_W.png,Baltic Dry Index (Bulk Freight) Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_BDI_W.png,Weekly,Published,"Shipping costs. When freight rises, delivered wheat costs more — squeezes export margins.",Bot,Weekly
69,INDICES,IDX_ES_D.png,S&P 500 Index Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_ES_D.png,Daily,Published,Risk appetite. Equity selloffs often drag commodities; rallies lift managed money inflows.,Bot,Daily
70,INDICES,IDX_ES_M.png,S&P 500 Index Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_ES_M.png,Monthly,Published,Equity trend. Long-term correlation between equity wealth effect and commodity investment.,Bot,Monthly
71,INDICES,IDX_GSCI_W.png,Goldman Sachs Commodity Index Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/IDX_GSCI_W.png,Weekly,Published,"Commodity complex barometer. When GSCI rises, fund money flows into grains too.",Bot,Weekly
AG INDEX,,,,,,,,,
72,AG INDEX,AGI_HD_D.png,The Home Depot Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/AGI_HD_D.png,Daily,Published,Consumer strength proxy. Housing/consumer spending correlates with food demand and farm economy.,Bot,Daily
73,AG INDEX,AGI_DE_D.png,John Deere & Co. Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/AGI_DE_D.png,Daily,Published,Farm economy bellwether. Deere stock tracks farm income expectations and equipment demand.,Bot,Daily
74,AG INDEX,AGI_CAT_D.png,Caterpillar Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/AGI_CAT_D.png,Daily,In Development,Infrastructure/construction proxy. Heavy equipment demand signals broader economic activity.,Bot,Daily
,,,,,,,,,
,TOTAL CHARTS:,74,,,,,,,
,Published:,57,,,,,,,
,In Development:,17,,,,,,,
